CMDLINE C:\Users\Acer\AppData\Local\Programs\Python\Python311\python.exe cli.py
MEM 72.269531 1749533675.7451
MEM 72.269531 1749533675.8455
MEM 72.269531 1749533675.9465
MEM 72.269531 1749533676.0470
MEM 72.269531 1749533676.1476
MEM 72.269531 1749533676.2479
MEM 72.269531 1749533676.3486
MEM 72.269531 1749533676.4492
MEM 72.269531 1749533676.5497
MEM 72.269531 1749533676.6508
MEM 72.269531 1749533676.7513
MEM 72.269531 1749533676.8516
MEM 72.269531 1749533676.9522
MEM 72.269531 1749533677.0526
MEM 72.269531 1749533677.1533
MEM 72.269531 1749533677.2539
MEM 72.269531 1749533677.3543
MEM 72.269531 1749533677.4547
MEM 72.269531 1749533677.5556
MEM 72.269531 1749533677.6560
MEM 72.269531 1749533677.7565
MEM 72.269531 1749533677.8572
MEM 72.269531 1749533677.9577
MEM 72.269531 1749533678.0581
MEM 72.269531 1749533678.1586
MEM 72.269531 1749533678.2592
MEM 72.269531 1749533678.3603
MEM 72.269531 1749533678.4610
MEM 72.269531 1749533678.5616
MEM 72.269531 1749533678.6622
MEM 72.269531 1749533678.7631
MEM 72.269531 1749533678.8638
MEM 72.269531 1749533678.9643
MEM 72.269531 1749533679.0649
MEM 72.269531 1749533679.1653
MEM 72.269531 1749533679.2660
MEM 72.269531 1749533679.3667
MEM 72.269531 1749533679.4671
MEM 72.269531 1749533679.5676
MEM 72.269531 1749533679.6679
MEM 72.269531 1749533679.7684
MEM 72.269531 1749533679.8691
MEM 72.269531 1749533679.9695
MEM 72.269531 1749533680.0698
MEM 72.269531 1749533680.1707
MEM 72.269531 1749533680.2711
MEM 72.269531 1749533680.3716
MEM 72.269531 1749533680.4723
MEM 72.269531 1749533680.5728
MEM 72.269531 1749533680.6730
MEM 72.269531 1749533680.7733
MEM 72.269531 1749533680.8740
MEM 72.269531 1749533680.9748
MEM 72.269531 1749533681.0755
MEM 72.269531 1749533681.1763
MEM 72.269531 1749533681.2769
MEM 72.269531 1749533681.3776
MEM 72.269531 1749533681.4780
MEM 72.269531 1749533681.5786
MEM 72.269531 1749533681.6792
MEM 72.269531 1749533681.7800
MEM 72.269531 1749533681.8802
MEM 72.269531 1749533681.9808
MEM 72.269531 1749533682.0816
MEM 72.269531 1749533682.1821
MEM 72.269531 1749533682.2827
MEM 72.269531 1749533682.3830
MEM 72.269531 1749533682.4833
MEM 72.269531 1749533682.5839
MEM 72.269531 1749533682.6846
MEM 72.269531 1749533682.7856
MEM 72.269531 1749533682.8861
MEM 72.269531 1749533682.9870
MEM 72.269531 1749533683.0874
MEM 72.269531 1749533683.1879
MEM 72.269531 1749533683.2885
MEM 72.269531 1749533683.3890
MEM 72.269531 1749533683.4898
MEM 72.269531 1749533683.5902
MEM 72.269531 1749533683.6910
MEM 72.269531 1749533683.7913
MEM 72.269531 1749533683.8917
MEM 72.269531 1749533683.9933
MEM 72.269531 1749533684.0940
MEM 72.269531 1749533684.1944
MEM 72.269531 1749533684.2950
MEM 72.269531 1749533684.3959
MEM 72.269531 1749533684.4965
MEM 72.269531 1749533684.5971
MEM 72.269531 1749533684.6984
MEM 72.269531 1749533684.7990
MEM 72.269531 1749533684.9001
MEM 72.269531 1749533685.0007
MEM 72.269531 1749533685.1014
MEM 72.269531 1749533685.2021
MEM 72.269531 1749533685.3027
MEM 72.269531 1749533685.4033
MEM 72.269531 1749533685.5038
MEM 72.269531 1749533685.6044
MEM 72.269531 1749533685.7050
MEM 72.269531 1749533685.8056
MEM 72.269531 1749533685.9064
MEM 72.269531 1749533686.0072
MEM 72.269531 1749533686.1078
MEM 72.269531 1749533686.2083
MEM 72.269531 1749533686.3088
MEM 72.269531 1749533686.4094
MEM 72.269531 1749533686.5099
MEM 72.269531 1749533686.6104
MEM 72.269531 1749533686.7110
MEM 72.269531 1749533686.8113
MEM 72.269531 1749533686.9121
MEM 72.269531 1749533687.0129
MEM 72.269531 1749533687.1135
MEM 72.269531 1749533687.2140
MEM 72.269531 1749533687.3145
MEM 72.269531 1749533687.4152
